job_id,source_job_id,alias_no,alias_name
JT0480,480,4,マイクロバス運転手
JT0480,480,5,特別支援学校送迎バス運転手
JT0480,480,6,催事会場送迎バス運転手
JT0480,480,7,施設利用者送迎バス運転手
JT0480,480,8,従業員送迎バス運転手
JT0480,480,9,幼稚園送迎バス運転手
JT0481,481,1,福祉タクシー運転手
JT0482,482,1,受託配送員（ルート配送）
JT0482,482,2,商品配達員（ルート配送）
JT0482,482,3,セールスドライバー（ルート配送）
JT0482,482,4,ルートセールス員（配達を主とするもの）
JT0482,482,5,ルート集配員
JT0483,483,1,商品配達員（ルート配送を除く）
JT0483,483,2,受託配送員（ルート配送を除く）
JT0483,483,3,バイク便配達人
JT0483,483,4,メール便配達員（郵便集配員を除く）
JT0485,485,1,仕分作業員（倉庫）
JT0486,486,1,商品仕分け作業員
JT0486,486,2,商品取集め作業員
JT0486,486,3,商品ピッキング作業員
JT0486,486,4,ピッキング作業員（倉庫）
JT0486,486,5,ピッキング作業員（倉庫卸・小売店）
JT0487,487,1,個人宅清掃員
JT0487,487,2,賃貸住宅清掃員
JT0488,488,1,害虫駆除作業員
JT0488,488,2,消毒作業員
JT0488,488,3,白あり駆除作業員
JT0488,488,4,防疫作業員
JT0488,488,5,捕鼠作業員
JT0488,488,6,ペストコントロールオペレーター(PCO）
JT0489,489,1,贈答品包装作業員
JT0489,489,2,箱詰作業員（包装）
JT0489,489,3,パッケージ機械操作員
JT0489,489,4,フィルム包装作業員
JT0489,489,5,袋詰作業員（包装）
JT0489,489,6,包装機械操作員
JT0490,490,1,工場労務員
JT0490,490,2,構内作業員（工場）
JT0491,491,1,パッケージ機械操作員
JT0491,491,2,フィルム包装作業員
JT0491,491,3,商品品出作業員（小売店）
JT0491,491,4,商品陳列作業員（小売店）
JT0491,491,5,商品補充作業員（小売店）
JT0491,491,6,店頭商品補充係
JT0492,492,1,調理助手
JT0492,492,2,調理手伝人
JT0493,493,1,学生食堂調理員
JT0493,493,2,学校給食センター調理員
JT0493,493,3,調理員（学校）
JT0493,493,4,調理員（医療施設）
JT0493,493,5,調理員（社員食堂）
JT0495,495,1,廃棄物処理施設技術管理者
JT0496,496,1,がれき収集作業員
JT0496,496,2,工場汚泥回収作業員
JT0496,496,3,工場廃液回収作業員
JT0496,496,4,廃プラスチック回収作業員
JT0496,496,5,医療廃棄物回収作業員
JT0496,496,6,医療廃棄物収集作業員
JT0497,497,1,運搬作業員
JT0497,497,2,貨物積卸作業員
JT0497,497,3,工場内運搬作業員
JT0497,497,4,構内運搬員
JT0497,497,5,コンテナ係
JT0497,497,6,トラック荷役作業員
JT0497,497,7,引越作業員
JT0498,498,1,出荷作業員（荷造を主とするもの）
JT0498,498,2,荷造機械操作員
JT0498,498,3,荷造検査工
JT0498,498,4,荷造工
JT0498,498,5,箱詰荷造工
JT0499,499,1,船内荷役作業員
JT0499,499,2,沿岸荷役作業員
JT0500,500,1,動物繁殖作業員
JT0502,502,1,搾乳作業員
JT0502,502,2,肉牛飼育作業員
JT0502,502,3,乳牛飼育作業員
JT0502,502,4,酪農作業員
JT0503,503,1,うなぎ養殖作業員
JT0503,503,2,金魚養殖作業員
JT0503,503,3,鯉養殖作業員
JT0503,503,4,たい養殖作業員
JT0503,503,5,はまち養殖作業員
JT0503,503,6,ふぐ養殖作業員
JT0503,503,7,かき養殖作業員
JT0503,503,8,しじみ養殖作業員
JT0503,503,9,帆立貝養殖作業員
JT0503,503,10,昆布養殖作業員
JT0503,503,11,のり養殖作業員
JT0503,503,12,わかめ養殖作業員
JT0503,503,13,貝類養殖作業員
JT0503,503,14,魚類養殖作業員
JT0504,504,1,水稲栽培作業員
JT0505,505,1,温室野菜栽培作業員
JT0505,505,2,ハウス野菜栽培作業員
JT0505,505,3,野菜栽培作業員（ハウス栽培）
JT0506,506,1,果樹栽培作業員
JT0507,507,1,植木栽培作業員
JT0507,507,2,花き栽培作業員
JT0508,508,1,家畜人工授精師（獣医師でないもの）
JT0508,508,2,畜産技術指導員
JT0508,508,3,ひな鑑別員
JT0508,508,4,普及指導員（畜産）
JT0509,509,1,沿岸漁業者
JT0509,509,2,地びき網ひき作業員
JT0509,509,3,潜水漁師
JT0509,509,4,定置網漁師
JT0510,510,1,アニマルヘルステクニシャン
JT0510,510,2,動物病院アシスタント
JT0510,510,3,動物看護師
JT0510,510,4,動物病院助手
JT0512,512,1,衆議院議員
JT0512,512,2,参議院議員
JT0514,514,1,会社会長
JT0514,514,2,CEO（会社最高経営責任者）
JT0514,514,3,会社社長
JT0515,515,1,がん具製造設備オペレーター
JT0515,515,2,がん具組立工
JT0515,515,3,人形製造工
JT0515,515,4,がん具製造工
JT0523,523,1,ビッグデータエンジニア
JT0526,526,1,金属製品検査工
JT0526,526,2,金属プレス検査工
JT0526,526,3,製缶検査工
JT0526,526,4,鉄骨製作検査工
JT0526,526,5,板金検査工
JT0526,526,6,めっき検査工
JT0526,526,7,金属溶接検査工
JT0526,526,8,医薬品検査工
JT0526,526,9,加工油脂製品検査工
JT0526,526,10,化粧品検査工
JT0526,526,11,ゴム製品検査工
JT0526,526,12,タイヤ検査工
JT0526,526,13,プラスチック製品検査工
JT0526,526,14,液晶パネル製造装置検査工
JT0526,526,15,機械部品検査工
JT0526,526,16,業務用空調機器検査工
JT0526,526,17,建設機械検査工
JT0526,526,18,原動機検査工
JT0526,526,19,半導体製造装置検査工
JT0526,526,20,電気機械検査工
JT0526,526,21,電気機械部品検査工
JT0526,526,22,電気通信機械器具検査工
JT0526,526,23,電子機器部品検査工
JT0526,526,24,半導体製品検査工
JT0527,527,1,飲食料品営業部員
JT0527,527,2,飲食料品ルート営業員
JT0527,527,3,飲食料品販売営業員
JT0527,527,4,営業員（飲食料品卸売業）
JT0529,529,1,液晶ディスプレイ（LCD）設計技術者
JT0529,529,2,回路設計技術者
JT0529,529,3,電子機器設計技術者
JT0529,529,4,電動機設計技術者
JT0529,529,5,産業用ロボット設計技術者
JT0529,529,6,精密測定工具設計技術者
JT0529,529,7,半導体製造装置設計技術者
JT0530,530,1,臨床開発モニター（CRA）
